Study-obejct,Files,Methods,Files,Methods,LevenDistance
10,09,main.txt-10,45,main.txt,77,
10,72,main.txt-10,45,main.txt,58,
10,72,main.txt-10,09,main.txt,58,
10,60,culculate.txt-10,45,main.txt,65,
10,60,culculate.txt-10,09,main.txt,78,
10,60,culculate.txt-10,72,main.txt,59,
10,11,score_breakup.txt-10,45,main.txt,65,
10,11,score_breakup.txt-10,09,main.txt,87,
10,11,score_breakup.txt-10,72,main.txt,76,
10,11,score_breakup.txt-10,60,culculate.txt,55,
10,60,output.txt-10,45,main.txt,67,
10,60,output.txt-10,09,main.txt,90,
10,60,output.txt-10,72,main.txt,81,
10,60,output.txt-10,60,culculate.txt,76,
10,60,output.txt-10,11,score_breakup.txt,69,
10,76,main.txt-10,45,main.txt,64,
10,76,main.txt-10,09,main.txt,53,
10,76,main.txt-10,72,main.txt,32,
10,76,main.txt-10,60,culculate.txt,62,
10,76,main.txt-10,11,score_breakup.txt,78,
10,76,main.txt-10,60,output.txt,83,
10,79,main.txt-10,45,main.txt,57,
10,79,main.txt-10,09,main.txt,66,
10,79,main.txt-10,72,main.txt,39,
10,79,main.txt-10,60,culculate.txt,56,
10,79,main.txt-10,11,score_breakup.txt,74,
10,79,main.txt-10,60,output.txt,79,
10,79,main.txt-10,76,main.txt,43,
10,85,main.txt-10,45,main.txt,81,
10,85,main.txt-10,09,main.txt,32,
10,85,main.txt-10,72,main.txt,63,
10,85,main.txt-10,60,culculate.txt,81,
10,85,main.txt-10,11,score_breakup.txt,88,
10,85,main.txt-10,60,output.txt,91,
10,85,main.txt-10,76,main.txt,59,
10,85,main.txt-10,79,main.txt,70,
10,06,main.txt-10,45,main.txt,59,
10,06,main.txt-10,09,main.txt,61,
10,06,main.txt-10,72,main.txt,38,
10,06,main.txt-10,60,culculate.txt,62,
10,06,main.txt-10,11,score_breakup.txt,77,
10,06,main.txt-10,60,output.txt,82,
10,06,main.txt-10,76,main.txt,39,
10,06,main.txt-10,79,main.txt,42,
10,06,main.txt-10,85,main.txt,67,
10,32,main.txt-10,45,main.txt,60,
10,32,main.txt-10,09,main.txt,58,
10,32,main.txt-10,72,main.txt,45,
10,32,main.txt-10,60,culculate.txt,61,
10,32,main.txt-10,11,score_breakup.txt,76,
10,32,main.txt-10,60,output.txt,82,
10,32,main.txt-10,76,main.txt,52,
10,32,main.txt-10,79,main.txt,45,
