Study-object,Files,Method,Files,Method,LevenDistance
1,47,check.txt-1,9,shortest.txt,46
1,30,main.txt-1,9,shortest.txt,82
1,30,main.txt-1,47,check.txt,78
1,98,main.txt-1,9,shortest.txt,82
1,98,main.txt-1,47,check.txt,78
1,98,main.txt-1,30,main.txt,36
1,17,gcd.txt-1,9,shortest.txt,34
1,17,gcd.txt-1,47,check.txt,50
1,17,gcd.txt-1,30,main.txt,85
1,17,gcd.txt-1,98,main.txt,84
1,34,main.txt-1,9,shortest.txt,80
1,34,main.txt-1,47,check.txt,75
1,34,main.txt-1,30,main.txt,25
1,34,main.txt-1,98,main.txt,26
1,34,main.txt-1,17,gcd.txt,82
1,65,main.txt-1,9,shortest.txt,76
1,65,main.txt-1,47,check.txt,69
1,65,main.txt-1,30,main.txt,42
1,65,main.txt-1,98,main.txt,41
1,65,main.txt-1,17,gcd.txt,78
1,65,main.txt-1,34,main.txt,27
1,66,main.txt-1,9,shortest.txt,79
1,66,main.txt-1,47,check.txt,74
1,66,main.txt-1,30,main.txt,49
1,66,main.txt-1,98,main.txt,46
1,66,main.txt-1,17,gcd.txt,82
1,66,main.txt-1,34,main.txt,44
1,66,main.txt-1,65,main.txt,55
1,38,g.txt-1,9,shortest.txt,39
1,38,g.txt-1,47,check.txt,44
1,38,g.txt-1,30,main.txt,79
1,38,g.txt-1,98,main.txt,79
1,38,g.txt-1,17,gcd.txt,37
1,38,g.txt-1,34,main.txt,76
1,38,g.txt-1,65,main.txt,70
1,38,g.txt-1,66,main.txt,77
1,80,main.txt-1,9,shortest.txt,82
1,80,main.txt-1,47,check.txt,79
1,80,main.txt-1,30,main.txt,37
1,80,main.txt-1,98,main.txt,35
1,80,main.txt-1,17,gcd.txt,84
1,80,main.txt-1,34,main.txt,28
1,80,main.txt-1,65,main.txt,37
1,80,main.txt-1,66,main.txt,31
1,80,main.txt-1,38,g.txt,79
1,75,powr.txt-1,9,shortest.txt,49
1,75,powr.txt-1,47,check.txt,30
1,75,powr.txt-1,30,main.txt,78
1,75,powr.txt-1,98,main.txt,77
1,75,powr.txt-1,17,gcd.txt,52
1,75,powr.txt-1,34,main.txt,74
1,75,powr.txt-1,65,main.txt,68
1,75,powr.txt-1,66,main.txt,74
