Study-object,Files,Methods,Files,Methods,LevenDistance
2,64,main.txt-2,93,main.txt,53,
2,81,main.txt-2,93,main.txt,73,
2,81,main.txt-2,64,main.txt,52,
2,37,dbcmp.txt-2,93,main.txt,87,
2,37,dbcmp.txt-2,64,main.txt,76,
2,37,dbcmp.txt-2,81,main.txt,68,
2,91,get_probs.txt-2,93,main.txt,88,
2,91,get_probs.txt-2,64,main.txt,77,
2,91,get_probs.txt-2,81,main.txt,71,
2,91,get_probs.txt-2,37,dbcmp.txt,66,
2,02,main.txt-2,93,main.txt,53,
2,02,main.txt-2,64,main.txt,44,
2,02,main.txt-2,81,main.txt,55,
2,02,main.txt-2,37,dbcmp.txt,81,
2,02,main.txt-2,91,get_probs.txt,82,
2,64,f.txt-2,93,main.txt,83,
2,64,f.txt-2,64,main.txt,70,
2,64,f.txt-2,81,main.txt,64,
2,64,f.txt-2,37,dbcmp.txt,60,
2,64,f.txt-2,91,get_probs.txt,52,
2,64,f.txt-2,02,main.txt,76,
2,31,min.txt-2,93,main.txt,92,
2,31,min.txt-2,64,main.txt,85,
2,31,min.txt-2,81,main.txt,79,
2,31,min.txt-2,37,dbcmp.txt,57,
2,31,min.txt-2,91,get_probs.txt,59,
2,31,min.txt-2,02,main.txt,89,
2,31,min.txt-2,64,f.txt,65,
2,22,main.txt-2,93,main.txt,56,
2,22,main.txt-2,64,main.txt,25,
2,22,main.txt-2,81,main.txt,49,
2,22,main.txt-2,37,dbcmp.txt,76,
2,22,main.txt-2,91,get_probs.txt,76,
2,22,main.txt-2,02,main.txt,44,
2,22,main.txt-2,64,f.txt,70,
2,22,main.txt-2,31,min.txt,85,
2,71,main.txt-2,93,main.txt,48,
2,71,main.txt-2,64,main.txt,57,
2,71,main.txt-2,81,main.txt,73,
2,71,main.txt-2,37,dbcmp.txt,87,
2,71,main.txt-2,91,get_probs.txt,89,
2,71,main.txt-2,02,main.txt,51,
2,71,main.txt-2,64,f.txt,85,
2,71,main.txt-2,31,min.txt,93,
2,71,main.txt-2,22,main.txt,59,
2,95,main.txt-2,93,main.txt,50,
2,95,main.txt-2,64,main.txt,24,
2,95,main.txt-2,81,main.txt,59,
2,95,main.txt-2,37,dbcmp.txt,79,
2,95,main.txt-2,91,get_probs.txt,80,
2,95,main.txt-2,02,main.txt,47,
2,95,main.txt-2,64,f.txt,73,
2,95,main.txt-2,31,min.txt,87,
2,95,main.txt-2,22,main.txt,29,
2,95,main.txt-2,71,main.txt,53,
2,92,calculate_strokes.txt-2,93,main.txt,84,
2,92,calculate_strokes.txt-2,64,main.txt,73,
2,92,calculate_strokes.txt-2,81,main.txt,72,
2,92,calculate_strokes.txt-2,37,dbcmp.txt,68,
2,92,calculate_strokes.txt-2,91,get_probs.txt,41,
2,92,calculate_strokes.txt-2,02,main.txt,78,
2,92,calculate_strokes.txt-2,64,f.txt,47,
2,92,calculate_strokes.txt-2,31,min.txt,69,
2,92,calculate_strokes.txt-2,22,main.txt,72,
2,92,calculate_strokes.txt-2,71,main.txt,86,
2,92,calculate_strokes.txt-2,95,main.txt,75,
2.100,main.txt-2,93,main.txt,49,
2.100,main.txt-2,64,main.txt,37,
2.100,main.txt-2,81,main.txt,65,
2.100,main.txt-2,37,dbcmp.txt,82,
2.100,main.txt-2,91,get_probs.txt,84,
2.100,main.txt-2,02,main.txt,50,
2.100,main.txt-2,64,f.txt,78,
2.100,main.txt-2,31,min.txt,89,
2.100,main.txt-2,22,main.txt,41,
2.100,main.txt-2,71,main.txt,53,
2.100,main.txt-2,95,main.txt,37,
2.100,main.txt-2,92,calculate_strokes.txt,80,
2,88,get_column_space.txt-2,93,main.txt,69,
2,88,get_column_space.txt-2,64,main.txt,55,
2,88,get_column_space.txt-2,81,main.txt,68,
2,88,get_column_space.txt-2,37,dbcmp.txt,72,
2,88,get_column_space.txt-2,91,get_probs.txt,73,
2,88,get_column_space.txt-2,02,main.txt,62,
2,88,get_column_space.txt-2,64,f.txt,67,
2,88,get_column_space.txt-2,31,min.txt,83,
2,88,get_column_space.txt-2,22,main.txt,62,
2,88,get_column_space.txt-2,71,main.txt,71,
2,88,get_column_space.txt-2,95,main.txt,59,
2,88,get_column_space.txt-2,92,calculate_strokes.txt,69,
2,88,get_column_space.txt-2.100,main.txt,63,
2,92,main.txt-2,93,main.txt,57,
2,92,main.txt-2,64,main.txt,24,
2,92,main.txt-2,81,main.txt,53,
2,92,main.txt-2,37,dbcmp.txt,77,
2,92,main.txt-2,91,get_probs.txt,77,
2,92,main.txt-2,02,main.txt,52,
2,92,main.txt-2,64,f.txt,71,
2,92,main.txt-2,31,min.txt,85,
2,92,main.txt-2,22,main.txt,27,
2,92,main.txt-2,71,main.txt,60,
2,92,main.txt-2,95,main.txt,33,
2,92,main.txt-2,92,calculate_strokes.txt,72,
2,92,main.txt-2.100,main.txt,44,
2,92,main.txt-2,88,get_column_space.txt,63,
2,13,main.txt-2,93,main.txt,52,
2,13,main.txt-2,64,main.txt,60,
2,13,main.txt-2,81,main.txt,74,
2,13,main.txt-2,37,dbcmp.txt,88,
2,13,main.txt-2,91,get_probs.txt,89,
2,13,main.txt-2,02,main.txt,51,
2,13,main.txt-2,64,f.txt,86,
2,13,main.txt-2,31,min.txt,93,
2,13,main.txt-2,22,main.txt,62,
2,13,main.txt-2,71,main.txt,44,
2,13,main.txt-2,95,main.txt,61,
2,13,main.txt-2,92,calculate_strokes.txt,86,
2,13,main.txt-2.100,main.txt,58,
2,13,main.txt-2,88,get_column_space.txt,73,
2,13,main.txt-2,92,main.txt,63,
2,82,main.txt-2,93,main.txt,83,
2,82,main.txt-2,64,main.txt,66,
2,82,main.txt-2,81,main.txt,45,
2,82,main.txt-2,37,dbcmp.txt,60,
2,82,main.txt-2,91,get_probs.txt,55,
2,82,main.txt-2,02,main.txt,74,
2,82,main.txt-2,64,f.txt,50,
2,82,main.txt-2,31,min.txt,66,
2,82,main.txt-2,22,main.txt,64,
