Study-Object,Files,Methods,Files,Methods,LevenDistance
7,67,cmpldd.txt-7,68,main.txt,82,
7,01,calc.txt-7,68,main.txt,77,
7,01,calc.txt-7,67,cmpldd.txt,51,
7,22,main.txt-7,68,main.txt,53,
7,22,main.txt-7,67,cmpldd.txt,73,
7,22,main.txt-7,01,calc.txt,61,
7,28,main.txt-7,68,main.txt,46,
7,28,main.txt-7,67,cmpldd.txt,77,
7,28,main.txt-7,01,calc.txt,67,
7,28,main.txt-7,22,main.txt,40,
7,67,cmpcd.txt-7,68,main.txt,88,
7,67,cmpcd.txt-7,67,cmpldd.txt,43,
7,67,cmpcd.txt-7,01,calc.txt,63,
7,67,cmpcd.txt-7,22,main.txt,80,
7,67,cmpcd.txt-7,28,main.txt,84,
7,57,comparedouble.txt-7,68,main.txt,84,
7,57,comparedouble.txt-7,67,cmpldd.txt,30,
7,57,comparedouble.txt-7,01,calc.txt,58,
7,57,comparedouble.txt-7,22,main.txt,75,
7,57,comparedouble.txt-7,28,main.txt,79,
7,57,comparedouble.txt-7,67,cmpcd.txt,46,
7,66,sort.txt-7,68,main.txt,78,
7,66,sort.txt-7,67,cmpldd.txt,58,
7,66,sort.txt-7,01,calc.txt,30,
7,66,sort.txt-7,22,main.txt,63,
7,66,sort.txt-7,28,main.txt,67,
7,66,sort.txt-7,67,cmpcd.txt,69,
7,66,sort.txt-7,57,comparedouble.txt,59,
7,32,main.txt-7,68,main.txt,51,
7,32,main.txt-7,67,cmpldd.txt,79,
7,32,main.txt-7,01,calc.txt,68,
7,32,main.txt-7,22,main.txt,49,
7,32,main.txt-7,28,main.txt,33,
7,32,main.txt-7,67,cmpcd.txt,85,
7,32,main.txt-7,57,comparedouble.txt,79,
7,32,main.txt-7,66,sort.txt,69,
7,83,swap.txt-7,68,main.txt,90,
7,83,swap.txt-7,67,cmpldd.txt,59,
7,83,swap.txt-7,01,calc.txt,61,
7,83,swap.txt-7,22,main.txt,82,
7,83,swap.txt-7,28,main.txt,86,
7,83,swap.txt-7,67,cmpcd.txt,48,
7,83,swap.txt-7,57,comparedouble.txt,58,
7,83,swap.txt-7,66,sort.txt,67,
7,83,swap.txt-7,32,main.txt,87,
7,84,solve.txt-7,68,main.txt,57,
7,84,solve.txt-7,67,cmpldd.txt,77,
7,84,solve.txt-7,01,calc.txt,68,
7,84,solve.txt-7,22,main.txt,59,
7,84,solve.txt-7,28,main.txt,52,
7,84,solve.txt-7,67,cmpcd.txt,85,
