Study-Object,Files,Methods,Files,Methods,LevenDistance
6,39,main.txt-6,84,main.txt,37,
6,78,main.txt-6,84,main.txt,36,
6,78,main.txt-6,39,main.txt,33,
6,100,main.txt-6,84,main.txt,35,
6,100,main.txt-6,39,main.txt,32,
6,100,main.txt-6,78,main.txt,29,
6,85,main.txt-6,84,main.txt,40,
6,85,main.txt-6,39,main.txt,46,
6,85,main.txt-6,78,main.txt,41,
6,85,main.txt-6,100,main.txt,36,
6,35,main.txt-6,84,main.txt,35,
6,35,main.txt-6,39,main.txt,22,
6,35,main.txt-6,78,main.txt,19,
6,35,main.txt-6,100,main.txt,26,
6,35,main.txt-6,85,main.txt,42,
6,32,main.txt-6,84,main.txt,39,
6,32,main.txt-6,39,main.txt,42,
6,32,main.txt-6,78,main.txt,36,
6,32,main.txt-6,100,main.txt,30,
6,32,main.txt-6,85,main.txt,38,
6,32,main.txt-6,35,main.txt,38,
6,18,getnp.txt-6,84,main.txt,90,
6,18,getnp.txt-6,39,main.txt,88,
6,18,getnp.txt-6,78,main.txt,88,
6,18,getnp.txt-6,100,main.txt,89,
6,18,getnp.txt-6,85,main.txt,92,
6,18,getnp.txt-6,35,main.txt,88,
6,18,getnp.txt-6,32,main.txt,91,
6,04,main.txt-6,84,main.txt,47,
6,04,main.txt-6,39,main.txt,46,
6,04,main.txt-6,78,main.txt,42,
6,04,main.txt-6,100,main.txt,46,
6,04,main.txt-6,85,main.txt,58,
6,04,main.txt-6,35,main.txt,40,
6,04,main.txt-6,32,main.txt,53,
6,04,main.txt-6,18,getnp.txt,85,
6,58,compute_owp.txt-6,84,main.txt,72,
6,58,compute_owp.txt-6,39,main.txt,68,
6,58,compute_owp.txt-6,78,main.txt,67,
6,58,compute_owp.txt-6,100,main.txt,70,
6,58,compute_owp.txt-6,85,main.txt,77,
6,58,compute_owp.txt-6,35,main.txt,67,
6,58,compute_owp.txt-6,32,main.txt,75,
6,58,compute_owp.txt-6,18,getnp.txt,74,
6,58,compute_owp.txt-6,04,main.txt,62,
6,56,find_wpi.txt-6,84,main.txt,56,
6,56,find_wpi.txt-6,39,main.txt,57,
6,56,find_wpi.txt-6,78,main.txt,58,
6,56,find_wpi.txt-6,100,main.txt,57,
6,56,find_wpi.txt-6,85,main.txt,63,
6,56,find_wpi.txt-6,35,main.txt,57,
6,56,find_wpi.txt-6,32,main.txt,62,
6,56,find_wpi.txt-6,18,getnp.txt,86,
6,56,find_wpi.txt-6,04,main.txt,55,
6,56,find_wpi.txt-6,58,compute_owp.txt,69,
6,52,main.txt-6,84,main.txt,74,
6,52,main.txt-6,39,main.txt,70,
6,52,main.txt-6,78,main.txt,70,
6,52,main.txt-6,100,main.txt,73,
6,52,main.txt-6,85,main.txt,79,
6,52,main.txt-6,35,main.txt,70,
6,52,main.txt-6,32,main.txt,78,
6,52,main.txt-6,18,getnp.txt,75,
6,52,main.txt-6,04,main.txt,63,
6,52,main.txt-6,58,compute_owp.txt,73,
6,52,main.txt-6,56,find_wpi.txt,57,
6,49,calculate_owp.txt-6,84,main.txt,85,
6,49,calculate_owp.txt-6,39,main.txt,84,
6,49,calculate_owp.txt-6,78,main.txt,83,
6,49,calculate_owp.txt-6,100,main.txt,85,
6,49,calculate_owp.txt-6,85,main.txt,89,
6,49,calculate_owp.txt-6,35,main.txt,83,
6,49,calculate_owp.txt-6,32,main.txt,88,
6,49,calculate_owp.txt-6,18,getnp.txt,42,
6,49,calculate_owp.txt-6,04,main.txt,79,
6,49,calculate_owp.txt-6,58,compute_owp.txt,68,
6,49,calculate_owp.txt-6,56,find_wpi.txt,81,
6,49,calculate_owp.txt-6,52,main.txt,70,
6,74,main.txt-6,84,main.txt,44,
6,74,main.txt-6,39,main.txt,47,
6,74,main.txt-6,78,main.txt,43,
6,74,main.txt-6,100,main.txt,41,
6,74,main.txt-6,85,main.txt,44,
6,74,main.txt-6,35,main.txt,44,
6,74,main.txt-6,32,main.txt,39,
6,74,main.txt-6,18,getnp.txt,92,
6,74,main.txt-6,04,main.txt,57,
6,74,main.txt-6,58,compute_owp.txt,75,
6,74,main.txt-6,56,find_wpi.txt,65,
6,74,main.txt-6,52,main.txt,79,
6,74,main.txt-6,49,calculate_owp.txt,89,
6,05,main.txt-6,84,main.txt,88,
6,05,main.txt-6,39,main.txt,87,
6,05,main.txt-6,78,main.txt,87,
6,05,main.txt-6,100,main.txt,88,
6,05,main.txt-6,85,main.txt,91,
6,05,main.txt-6,35,main.txt,86,
6,05,main.txt-6,32,main.txt,91,
6,05,main.txt-6,18,getnp.txt,59,
6,05,main.txt-6,04,main.txt,83,
6,05,main.txt-6,58,compute_owp.txt,80,
6,05,main.txt-6,56,find_wpi.txt,86,
6,05,main.txt-6,52,main.txt,72,
6,05,main.txt-6,49,calculate_owp.txt,64,
6,05,main.txt-6,74,main.txt,91,
6,99,main.txt-6,84,main.txt,42,
6,99,main.txt-6,39,main.txt,45,
6,99,main.txt-6,78,main.txt,39,
6,99,main.txt-6,100,main.txt,43,
6,99,main.txt-6,85,main.txt,47,
6,99,main.txt-6,35,main.txt,41,
6,99,main.txt-6,32,main.txt,42,
6,99,main.txt-6,18,getnp.txt,91,
6,99,main.txt-6,04,main.txt,54,
6,99,main.txt-6,58,compute_owp.txt,75,
6,99,main.txt-6,56,find_wpi.txt,57,
6,99,main.txt-6,52,main.txt,74,
6,99,main.txt-6,49,calculate_owp.txt,87,
6,99,main.txt-6,74,main.txt,54,
6,99,main.txt-6,05,main.txt,89,
6,05,calculateowp.txt-6,84,main.txt,88,
6,05,calculateowp.txt-6,39,main.txt,86,
6,05,calculateowp.txt-6,78,main.txt,86,
6,05,calculateowp.txt-6,100,main.txt,87,
6,05,calculateowp.txt-6,85,main.txt,91,
6,05,calculateowp.txt-6,35,main.txt,86,
6,05,calculateowp.txt-6,32,main.txt,90,
6,05,calculateowp.txt-6,18,getnp.txt,33,
6,05,calculateowp.txt-6,04,main.txt,83,
6,05,calculateowp.txt-6,58,compute_owp.txt,70,
6,05,calculateowp.txt-6,56,find_wpi.txt,84,
6,05,calculateowp.txt-6,52,main.txt,73,
6,05,calculateowp.txt-6,49,calculate_owp.txt,32,
