Study-object,Files,Methods,Files,Methods,LevenDistance
14,41,main.txt-14,43,main.txt,52,
14,15,setup.txt-14,43,main.txt,75,
14,15,setup.txt-14,41,main.txt,84,
14,55,main.txt-14,43,main.txt,39,
14,55,main.txt-14,41,main.txt,41,
14,55,main.txt-14,15,setup.txt,80,
14,80,addword.txt-14,43,main.txt,76,
14,80,addword.txt-14,41,main.txt,85,
14,80,addword.txt-14,15,setup.txt,67,
14,80,addword.txt-14,55,main.txt,82,
14,36,bit_for.txt-14,43,main.txt,93,
14,36,bit_for.txt-14,41,main.txt,96,
14,36,bit_for.txt-14,15,setup.txt,81,
14,36,bit_for.txt-14,55,main.txt,95,
14,36,bit_for.txt-14,80,addword.txt,79,
14,95,match_pattern.txt-14,43,main.txt,55,
14,95,match_pattern.txt-14,41,main.txt,65,
14,95,match_pattern.txt-14,15,setup.txt,79,
14,95,match_pattern.txt-14,55,main.txt,58,
14,95,match_pattern.txt-14,80,addword.txt,72,
14,95,match_pattern.txt-14,36,bit_for.txt,91,
14,76,buffercanbe.txt-14,43,main.txt,64,
14,76,buffercanbe.txt-14,41,main.txt,78,
14,76,buffercanbe.txt-14,15,setup.txt,62,
14,76,buffercanbe.txt-14,55,main.txt,73,
14,76,buffercanbe.txt-14,80,addword.txt,54,
14,76,buffercanbe.txt-14,36,bit_for.txt,84,
14,76,buffercanbe.txt-14,95,match_pattern.txt,61,
14,30,main.txt-14,43,main.txt,33,
14,30,main.txt-14,41,main.txt,49,
14,30,main.txt-14,15,setup.txt,79,
14,30,main.txt-14,55,main.txt,40,
14,30,main.txt-14,80,addword.txt,78,
14,30,main.txt-14,36,bit_for.txt,94,
14,30,main.txt-14,95,match_pattern.txt,54,
14,30,main.txt-14,76,buffercanbe.txt,68,
14,61,main.txt-14,43,main.txt,24,
14,61,main.txt-14,41,main.txt,54,
14,61,main.txt-14,15,setup.txt,77,
14,61,main.txt-14,55,main.txt,42,
14,61,main.txt-14,80,addword.txt,76,
14,61,main.txt-14,36,bit_for.txt,93,
14,61,main.txt-14,95,match_pattern.txt,52,
14,61,main.txt-14,76,buffercanbe.txt,65,
14,61,main.txt-14,30,main.txt,33,
14,52,main.txt-14,43,main.txt,87,
14,52,main.txt-14,41,main.txt,93,
14,52,main.txt-14,15,setup.txt,74,
14,52,main.txt-14,55,main.txt,91,
14,52,main.txt-14,80,addword.txt,76,
14,52,main.txt-14,36,bit_for.txt,64,
14,52,main.txt-14,95,match_pattern.txt,89,
14,52,main.txt-14,76,buffercanbe.txt,80,
14,52,main.txt-14,30,main.txt,89,
14,52,main.txt-14,61,main.txt,87,
14,63,transfer.txt-14,43,main.txt,66,
