Study-Object,Files,Methods,Files,Methods,LevenDistance
5,40,main.txt-5,29,main.txt,21,
5,03,main.txt-5,29,main.txt,32,
5,03,main.txt-5,40,main.txt,32,
5,100,main.txt-5,29,main.txt,46,
5,100,main.txt-5,40,main.txt,38,
5,100,main.txt-5,03,main.txt,51,
5,49,main.txt-5,29,main.txt,34,
5,49,main.txt-5,40,main.txt,37,
5,49,main.txt-5,03,main.txt,32,
5,49,main.txt-5,100,main.txt,57,
5,21,gcd.txt-5,29,main.txt,83,
5,21,gcd.txt-5,40,main.txt,81,
5,21,gcd.txt-5,03,main.txt,83,
5,21,gcd.txt-5,100,main.txt,74,
5,21,gcd.txt-5,49,main.txt,85,
5,99,solve.txt-5,29,main.txt,38,
5,99,solve.txt-5,40,main.txt,46,
5,99,solve.txt-5,03,main.txt,41,
5,99,solve.txt-5,100,main.txt,57,
5,99,solve.txt-5,49,main.txt,45,
5,99,solve.txt-5,21,gcd.txt,81,
5,75,match_skip.txt-5,29,main.txt,89,
5,75,match_skip.txt-5,40,main.txt,88,
5,75,match_skip.txt-5,03,main.txt,89,
5,75,match_skip.txt-5,100,main.txt,83,
5,75,match_skip.txt-5,49,main.txt,90,
5,75,match_skip.txt-5,21,gcd.txt,52,
5,75,match_skip.txt-5,99,solve.txt,88,
5,76,main.txt-5,29,main.txt,43,
5,76,main.txt-5,40,main.txt,49,
5,76,main.txt-5,03,main.txt,45,
5,76,main.txt-5,100,main.txt,66,
5,76,main.txt-5,49,main.txt,36,
5,76,main.txt-5,21,gcd.txt,89,
5,76,main.txt-5,99,solve.txt,54,
5,76,main.txt-5,75,match_skip.txt,92,
5,62,main.txt-5,29,main.txt,50,
5,62,main.txt-5,40,main.txt,47,
5,62,main.txt-5,03,main.txt,54,
5,62,main.txt-5,100,main.txt,27,
5,62,main.txt-5,49,main.txt,59,
5,62,main.txt-5,21,gcd.txt,73,
5,62,main.txt-5,99,solve.txt,55,
5,62,main.txt-5,75,match_skip.txt,82,
5,62,main.txt-5,76,main.txt,67,
5,52,gcd.txt-5,29,main.txt,87,
5,52,gcd.txt-5,40,main.txt,86,
5,52,gcd.txt-5,03,main.txt,87,
5,52,gcd.txt-5,100,main.txt,80,
5,52,gcd.txt-5,49,main.txt,89,
5,52,gcd.txt-5,21,gcd.txt,45,
5,52,gcd.txt-5,99,solve.txt,86,
5,52,gcd.txt-5,75,match_skip.txt,57,
5,52,gcd.txt-5,76,main.txt,91,
5,52,gcd.txt-5,62,main.txt,79,
5,70,main.txt-5,29,main.txt,18,
5,70,main.txt-5,40,main.txt,21,
5,70,main.txt-5,03,main.txt,23,
5,70,main.txt-5,100,main.txt,40,
5,70,main.txt-5,49,main.txt,36,
5,70,main.txt-5,21,gcd.txt,81,
5,70,main.txt-5,99,solve.txt,38,
5,70,main.txt-5,75,match_skip.txt,88,
5,70,main.txt-5,76,main.txt,48,
5,70,main.txt-5,62,main.txt,45,
5,70,main.txt-5,52,gcd.txt,86,
5,13,main.txt-5,29,main.txt,58,
5,13,main.txt-5,40,main.txt,59,
5,13,main.txt-5,03,main.txt,57,
5,13,main.txt-5,100,main.txt,73,
5,13,main.txt-5,49,main.txt,50,
5,13,main.txt-5,21,gcd.txt,91,
5,13,main.txt-5,99,solve.txt,63,
5,13,main.txt-5,75,match_skip.txt,94,
5,13,main.txt-5,76,main.txt,44,
5,13,main.txt-5,62,main.txt,74,
5,13,main.txt-5,52,gcd.txt,93,
5,13,main.txt-5,70,main.txt,60,
5,16,main.txt-5,29,main.txt,41,
5,16,main.txt-5,40,main.txt,40,
5,16,main.txt-5,03,main.txt,43,
5,16,main.txt-5,100,main.txt,61,
5,16,main.txt-5,49,main.txt,37,
5,16,main.txt-5,21,gcd.txt,87,
5,16,main.txt-5,99,solve.txt,50,
5,16,main.txt-5,75,match_skip.txt,91,
5,16,main.txt-5,76,main.txt,42,
5,16,main.txt-5,62,main.txt,63,
5,16,main.txt-5,52,gcd.txt,90,
5,16,main.txt-5,70,main.txt,42,
5,16,main.txt-5,13,main.txt,43,
5,41,gcd.txt-5,29,main.txt,79,
5,41,gcd.txt-5,40,main.txt,77,
5,41,gcd.txt-5,03,main.txt,81,
5,41,gcd.txt-5,100,main.txt,66,
5,41,gcd.txt-5,49,main.txt,82,
5,41,gcd.txt-5,21,gcd.txt,50,
5,41,gcd.txt-5,99,solve.txt,78,
5,41,gcd.txt-5,75,match_skip.txt,60,
5,41,gcd.txt-5,76,main.txt,87,
5,41,gcd.txt-5,62,main.txt,66,
5,41,gcd.txt-5,52,gcd.txt,59,
5,41,gcd.txt-5,70,main.txt,77,
5,41,gcd.txt-5,13,main.txt,90,
5,41,gcd.txt-5,16,main.txt,85,
5,54,main.txt-5,29,main.txt,61,
5,54,main.txt-5,40,main.txt,58,
5,54,main.txt-5,03,main.txt,65,
5,54,main.txt-5,100,main.txt,35,
5,54,main.txt-5,49,main.txt,69,
5,54,main.txt-5,21,gcd.txt,68,
5,54,main.txt-5,99,solve.txt,68,
5,54,main.txt-5,75,match_skip.txt,77,
5,54,main.txt-5,76,main.txt,76,
5,54,main.txt-5,62,main.txt,35,
5,54,main.txt-5,52,gcd.txt,73,
5,54,main.txt-5,70,main.txt,59,
5,54,main.txt-5,13,main.txt,81,
5,54,main.txt-5,16,main.txt,73,
5,54,main.txt-5,41,gcd.txt,59,
5,54,solv.txt-5,29,main.txt,39,
5,54,solv.txt-5,40,main.txt,40,
5,54,solv.txt-5,03,main.txt,47,
5,54,solv.txt-5,100,main.txt,48,
5,54,solv.txt-5,49,main.txt,52,
5,54,solv.txt-5,21,gcd.txt,74,
5,54,solv.txt-5,99,solve.txt,33,
5,54,solv.txt-5,75,match_skip.txt,83,
5,54,solv.txt-5,76,main.txt,61,
5,54,solv.txt-5,62,main.txt,47,
5,54,solv.txt-5,52,gcd.txt,82,
5,54,solv.txt-5,70,main.txt,37,
5,54,solv.txt-5,13,main.txt,71,
5,54,solv.txt-5,16,main.txt,58,
5,54,solv.txt-5,41,gcd.txt,69,
5,54,solv.txt-5,54,main.txt,57,
5,74,gcd.txt-5,29,main.txt,86,
5,74,gcd.txt-5,40,main.txt,85,
5,74,gcd.txt-5,03,main.txt,87,
5,74,gcd.txt-5,100,main.txt,78,
5,74,gcd.txt-5,49,main.txt,88,
5,74,gcd.txt-5,21,gcd.txt,30,
5,74,gcd.txt-5,99,solve.txt,86,
5,74,gcd.txt-5,75,match_skip.txt,40,
5,74,gcd.txt-5,76,main.txt,91,
5,74,gcd.txt-5,62,main.txt,76,
5,74,gcd.txt-5,52,gcd.txt,48,
5,74,gcd.txt-5,70,main.txt,85,
5,74,gcd.txt-5,13,main.txt,93,
5,74,gcd.txt-5,16,main.txt,90,
5,74,gcd.txt-5,41,gcd.txt,45,
5,74,gcd.txt-5,54,main.txt,70,
5,74,gcd.txt-5,54,solv.txt,79,
5,30,main.txt-5,29,main.txt,15,
5,30,main.txt-5,40,main.txt,15,
5,30,main.txt-5,03,main.txt,31,
5,30,main.txt-5,100,main.txt,38,
5,30,main.txt-5,49,main.txt,36,
